2022/09/30 09:19:21 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.27.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.27.0.2:9000", host: "localhost"
2022/09/30 09:25:26 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.30.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.30.0.2:9000", host: "localhost"
2022/09/30 09:31:00 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.30.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.30.0.2:9000", host: "localhost"
2022/09/30 09:31:01 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.30.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.30.0.2:9000", host: "localhost"
2022/09/30 09:31:01 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.30.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.30.0.2:9000", host: "localhost"
2022/09/30 09:31:01 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.30.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.30.0.2:9000", host: "localhost"
2022/09/30 09:44:30 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.32.1, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://192.168.32.2:9000", host: "localhost"
2022/09/30 09:45:08 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.32.1, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://192.168.32.2:9000", host: "localhost"
2022/09/30 09:49:07 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.32.1, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://192.168.32.2:9000", host: "localhost"
2022/09/30 09:49:08 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.32.1, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://192.168.32.2:9000", host: "localhost"
2022/09/30 09:58:14 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.32.1, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://192.168.32.2:9000", host: "localhost"
2022/09/30 13:08:57 [error] 7#7: *3 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.32.1, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://192.168.32.2:9000", host: "localhost"
2022/09/30 13:48:49 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.20.0.1, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://172.20.0.2:9000", host: "localhost"
2022/09/30 13:48:50 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.20.0.1, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://172.20.0.2:9000", host: "localhost"
2022/09/30 14:05:42 [error] 7#7: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.20.0.1, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://172.20.0.2:9000", host: "localhost"
2022/09/30 14:28:05 [error] 7#7: *1 FastCGI sent in stderr: "PHP message: 2022-09-30T14:28:05+00:00 [critical] Uncaught Exception: Extension DOM is required" while reading upstream, client: 172.20.0.1, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://172.20.0.2:9000", host: "localhost"
